Kingdom,Subkingdom,Infrakingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,"Species Complex",Subspecies,ID,Author,"Taxon data is restricted","Taxon is allochthonous","Taxon is invasive","(old) FaunaEuropea ID","FaunaEuropea ID",Stages,"Conservation Legislations","Other Conservation Documents","Red Lists","Uses Atlas Codes","Native Name - Bosanski","Native Name - English","Native Name - Croatian","Native Name - Montenegrin","Native Name - Serbian (Cyrillic)","Native Name - Serbian (Latin)","Description - Bosanski","Description - English","Description - Croatian","Description - Montenegrin","Description - Serbian (Cyrillic)","Description - Serbian (Latin)"
Animalia,,,Arthropoda,Hexapoda,Insecta,,Lepidoptera,,,Noctuoidea,Noctuidae,Noctuinae,,,Mythimna,"Mythimna anderreggii",,,12284,"(Boisduval, 1840)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Plantae,,,Tracheophyta,,Magnoliopsida,,Rosales,,,,Rosaceae,,,,Rubus,"Rubus ulmifolius",,,12283,Schott,No,Yes,No,,,,,,,No,,,,,,,,,,,,
Plantae,,,Tracheophyta,,Magnoliopsida,,Asterales,,,,Compositae,,Eupatorieae,,Eupatorium,"Eupatorium cannabinum",,,12282,L.,No,No,No,,,,,,,No,,,,,,,,,,,,
Plantae,,,Tracheophyta,,Magnoliopsida,,Asterales,,,,Compositae,,Eupatorieae,,,,,,12281,,No,No,No,,,,,,,No,,,,,,,,,,,,
Plantae,,,Tracheophyta,,Magnoliopsida,,Asterales,,,,Compositae,,Eupatorieae,,Eupatorium,,,,12280,,No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Hymenochaetales,,,,Hymenochaetaceae,,,,Phellinus,"Phellinus tremulae",,,12279,"(Bondartsev) Bondartsev & P.N. Borisov",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Hymenochaetales,,,,Hymenochaetaceae,,,,Phellinus,"Phellinus rhamni",,,12278,"(Bondartseva) H. Jahn",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Hymenochaetales,,,,Hymenochaetaceae,,,,Phellinus,"Phellinus populicola",,,12277,Niemelä,No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Hymenochaetales,,,,Hymenochaetaceae,,,,Phellinus,"Phellinus pomaceus",,,12276,"(Pers.) Maire",No,No,No,,,,,,,No,,,,,,,,,,,,
Fungi,,,Basidiomycota,,Agaricomycetes,,Hymenochaetales,,,,Hymenochaetaceae,,,,Phellinus,"Phellinus lundellii",,,12275,Niemelä,No,No,No,,,,,,,No,,,,,,,,,,,,
