"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"17529","genus","Sabulina","Rchb.","","","","43",""
"17528","species","Scolia hirta","(Schrank, 1781)","","","1;2;3;5","26","Apis hirta;Scolia bifasciata"
"17527","species","Himantoglossum robertianum","(Loisel.) P. Delforge","","","","43",""
"17526","subspecies","Himantoglossum jankae","Somlyay, Kreutz & Óvári","",";Смичак, козоношка;Smičak, kozonoška;;;","","43","Himantoglossum calcaratum subsp. rumelicum;Himantoglossum calcaratum subsp. jankae"
"17525","species","Leontodon tuberosus","L.","","","","43",""
"17524","species","Leontodon saxatilis","Lam.","","","","43","Leontodon taraxacoides"
"17523","subspecies","Leontodon hispidus hastilis","(L.) Corb.","","","","43","Leontodon hispidus subsp. danubialis"
"17522","species","Leontodon incanus","(L.) Schrank","","","","43",""
"17521","species","Leontodon hispidus","L.","","","","43",""
"17520","subspecies","Leontodon crispus rossianus","(Degen et Lengyel) Hayek","","","","43",""
"17519","species","Scorzoneroides cichoriacea","(Ten.) Greuter","","","","43","Leontodon fasciculatus;Leontodon cichoraceus;Leontodon fasciolatus"
"17518","species","Leontodon asperrimus","(Willd.) Endl.","","","","43","Leontodon crispus subsp. asperrimus"
"17517","species","Lamprocapnos spectabilis","(L.) Fukuhara","","Asian bleeding-heart;Девојачко срце, Минђушица;;;;","","43","Fumaria spectabilis"
"17516","genus","Lamprocapnos","Endl.","","","","43",""
"17515","species","Roemeria hybrida","(L.) DC.","",";Ремерија;Remerija;Križana romerija;;","","43",""
"17514","genus","Roemeria","","","","","43",""
"17513","species","Hypecoum pendulum","L.","","","","43","Hypecoum parviflorum"
"17512","genus","Hypecoum","","","","","43",""
"17511","species","Glaucium corniculatum","(L.) J. H. Rudolph","",";Рогати мак;Rogati mak;Crvena makovica;;","","43",""
"17510","species","Chelidonium majus","L.","",";Руса, росопас перастолистни;Rusa, rosopas perastolistni;Žuti rosopas;;","","43",""
"17509","genus","Chelidonium","","","","","43",""
"17508","subspecies","Corydalis solida oligantha","(Trinajstić) Greuter et Burdet","","","","43",""
"17507","species","Papaver somniferum","L.","",";Мак;Mak;Pitomi mak;;","","43",""
"17506","species","Papaver rhoeas","L.","",";Булка, дивљи мак;Bulka, divlji mak;Divlji mak, bulka;;","","43",""
"17505","species","Papaver nigrotinctum","Fedde","",";;;Crnobojni mak;;","","43","Papaver argemone subsp. nigrotinctum"
"17504","species","Papaver orientale","L.","",";Мак украсни;Mak ukrasni;;;","","43",""
"17503","species","Papaver kerneri","Hayek","",";Кернеров мак, жута булка;Kernerov mak;Kernerov mak;;","","43",""
"17502","species","Papaver hybridum","L.","","Rough poppy;Хибридна булка, дивљи мак;Hibridna bulka, divlji mak;Zavinutobodljasti mak;;","","43",""
"17501","species","Papaver lecoqii","Lamotte","",";Бела булка;;Bijeli mak;;","","43","Papaver dubium subsp. lecoqii;Papaver albiflorum"
"17500","species","Papaver dubium","L.","",";Турчинак;Turčinak;Sjetveni mak;Usjevni mak;","","43",""
"17499","species","Papaver argemone","L.","",";Црна булка, пољски мак;Crna bulka;Pješčarski mak;;","","43","Roemeria argemone"
