"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"29143","species","Melitaea arduinna","(Esper, 1783)","","Freyer’s fritillary;крупнооки шаренац;Krupnooki šarenac;;;","1;2;3;5","4",""
"29142","genus","Sabulina","Rchb.","","","","13",""
"29141","species","Osmylus fulvicephalus","(Scopoli, 1763)","","","2;5","",""
"29140","suborder","Hemerobiiformia","","","","2;5","",""
"29139","family","Osmylidae","","","","2;5","",""
"29138","subfamily","Osmylinae","","","","2;5","",""
"29137","genus","Osmylus ","","","","2;5","",""
"29136","species","Pisaura mirabilis","(Clerck, 1757)","","","1;4;5","",""
"29135","suborder","Araneomorphae","","","","1;4;5","",""
"29134","family","Pisauridae","","","","1;4;5","",""
"29133","genus","Pisaura","","","","1;4;5","",""
"29132","species","Scolopendra dalmatica","","","","1;4;5","",""
"29131","genus","Scolopendra","Linnaeus, 1758","","","1;4;5","",""
"29130","family","Scolopendridae","","","","1;4;5","",""
"29129","order","Scolopendromorpha","","","","1;4;5","",""
"29128","class","Chilopoda","","","Centipedes;стоноге;stonoge;;;","1;4;5","",""
"29127","species","Forficula auricularia","Linnaeus, 1758","","","1;2;5","",""
"29126","order","Dermaptera","","","","1;2;5","",""
"29125","family","Forficulidae","","","","1;2;5","",""
"29124","subfamily","Forficulinae","","","","1;2;5","",""
"29123","genus","Forficula","","","","1;2;5","",""
"29122","species","Pheidole pallidula","","","","1;2;3;5","",""
"29121","genus","Pheidole","","","","1;2;3;5","",""
"29120","species","Eumasia parietariella","(Heydenreich, 1851)","","","1;2;3;5","",""
"29119","genus","Eumasia","Chrétien, 1904","","","1;2;3;5","",""
"29118","subfamily","Oiketicinae","","","","1;2;3;5","",""
"29117","species","Leontodon incanus","(L.) Schrank","","","","13",""
"29116","subspecies","Leontodon crispus rossianus","(Degen et Lengyel) Hayek","","","","13",""
"29115","species","Papaver lecoqii","Lamotte","",";Бела булка;;Bijeli mak;;","","13","Papaver dubium subsp. lecoqii;Papaver albiflorum"
"29114","species","Cytisus supinus","L.","","","","13","Chamaecytisus supinus;Cytisus hirsutus var. supinus"
"29113","species","Helix lucorum","Linnaeus 1758","","","1;4;5","",""
