"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"18727","genus","Sabulina","Rchb.","","","","38",""
"18726","species","Hofmannophila pseudospretella","(Stainton 1849)","","","1;2;3;5","18",""
"18725","genus","Hofmannophila","","","","1;2;3;5","18",""
"18724","genus","Philaenus","Stal, 1864","","","1;2;5","23",""
"18723","family","Aphrophoridae","","","","1;2;5","23",""
"18722","species","Byrrhus pilula","(Linnaeus, 1758)","","","1;2;3;5","17",""
"18721","genus","Byrrhus","","","","1;2;3;5","17",""
"18720","species","Panagaeus bipustulatus","(Fabricius, 1775)","","","1;2;3;5","17",""
"18719","subfamily","Panagaeinae","","","","1;2;3;5","17",""
"18718","genus","Panagaeus","","","","1;2;3;5","17",""
"18717","species","Platyptilia gonodactyla","(Denis & Schiffermuller, 1775)","","","1;2;3;5","18",""
"18716","genus","Platyptilia","","","","1;2;3;5","18",""
"18715","species","Leontodon incanus","(L.) Schrank","","","","38",""
"18714","subspecies","Leontodon crispus rossianus","(Degen et Lengyel) Hayek","","","","38",""
"18713","species","Glaucium flavum","Crantz","",";;;Primorska makovica;;","","38",""
"18712","species","Papaver lecoqii","Lamotte","",";Бела булка;;Bijeli mak;;","","38","Papaver dubium subsp. lecoqii;Papaver albiflorum"
"18711","species","Papaver apulum","Ten.","","Peacock Poppy;;;Apulski mak;;","","38","Papaver argemonoides"
"18710","species","Papaver alpinum","L.","",";;;Mak žutkasti, planinski mak;Planinski mak;","","38",""
"18709","species","Cytisus supinus","L.","","","","38","Chamaecytisus supinus;Cytisus hirsutus var. supinus"
"18708","subspecies","Thesium dollineri simplex","(Velen.) Stoj. & Stef.","","","","38",""
"18707","species","Thesium humile","Vahl","","","","38",""
"18706","genus","Phelipanche","","","","","38",""
"18705","species","Dasytes caeruleus","(De Geer, 1774)","","","1;2;3;5","17",""
"18704","genus","Dasytes","","","","1;2;3;5","17",""
"18703","species","Thymalus limbatus","(Fabricius, 1787)","","","1;2;3;5","17",""
"18702","subfamily","Peltinae","","","","1;2;3;5","17",""
"18701","genus","Thymalus","","","","1;2;3;5","17",""
"18700","species","Pterostichus niger","(Schaller, 1783)","","","1;2;3;5","17",""
"18699","genus","Pterostichus","","","","1;2;3;5","17",""
"18698","species","Bolitophagus reticulatus","(Linnaeus, 1767)","","","1;2;3;5","17",""
"18697","tribe","Bolitophagini","","","","2;3;5","17",""
"18696","genus","Bolitophagus","","","","1;2;3;5","17",""
"18695","species","Corticeus unicolor","Piller & Mitterpacher, 1783","","","5","17",""
"18694","tribe","Hypophlaeini","","","","2;3;5","17",""
"18693","genus","Corticeus","","","","2;3;5","17",""
