"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"29051","subspecies","Minuartia setacea banatica","(Rchb.) Prodan","",";Банатска мишјакиња;;;;","","28","Minuartia setacea subsp. bannatica"
"29050","genus","Sabulina","Rchb.","","","","28",""
"29049","species","Zygaena diaphana","Staudinger, 1887","","","1;2;3;5","29",""
"29048","species","Megistopus flavicornis","(Rossi, 1790)","","","2;5","40",""
"29047","genus","Megistopus ","","","","2;5","40",""
"29046","species","Distoleon tetragrammicus","(Fabricius, 1798)","","","2;5","40",""
"29045","family","Myrmeleontidae","","","","2;5","40",""
"29044","subfamily","Myrmeleontinae","","","","2;5","40",""
"29043","genus","Distoleon  ","","","","2;5","40",""
"29042","species","Heterogynis serbica","Stojanović, Galović, Terzin, Ačanski, Vidović & Orlović, 2023","","","1;2;3;5","29",""
"29041","species","Acontia melanura","(Tauscher, 1809)","","","1;2;3;5","29",""
"29040","species","Grammodes bifasciata","(Petagna, 1787)","","","1;2;3;5","29",""
"29038","species","Lygaeosoma anatolicum","Seidenstucker, 1960","","","1;2;3;5","13",""
"29037","phylum","Annelida","Lamarck, 1809","","","1;2;3;4;5","",""
"29036","species","Pterothrixidia rufella","(Duponchel, 1836)","","","1;2;3;5","29",""
"29035","genus","Pterothrixidia","","","","1;2;3;5","29",""
"29034","species","Oecophora superior","(Rebel, 1918)","","","1;2;3;5","29",""
"29033","species","Mantispa aphavexelte","U. Aspock & H. Aspock, 1994","","","2;5","40",""
"29032","suborder","Hemerobiiformia","","","","2;5","40",""
"29031","family","Mantispidae","","","","2;5","40",""
"29030","subfamily","Mantispinae","","","","2;5","40",""
"29029","genus","Mantispa ","","","","2;5","40",""
"29028","speciescomplex","Zygaena transalpina×angelicae","","","","1;2;3;5","29",""
"29027","species","Mompha epilobiella","Römer, 1794","","","1;2;3;5","29",""
"29026","species","Mythimna congrua","(Hübner, 1817)","","","1;2;3;5","29",""
"29025","species","Helcystogramma lutatella","(Herrich-Schäffer, [1854])","","","1;2;3;5","29",""
"29024","species","Phalonidia albipalpana","(Zeller, 1847)","","","1;2;3;5","29",""
"29023","species","Pelochrista modicana","(Zeller, 1847)","","","1;2;3;5","29",""
"29022","genus","Pelochrista","","","","1;2;3;5","29",""
"29021","species","Charissa onustaria","(Herrich-Schäffer, 1852)","","","1;2;3;5","29",""
"29020","species","Limnaecia phragmitella","Stainton, 1851","","","1;2;3;5","29",""
"29019","genus","Limnaecia","Stainton, 1851","","","1;2;3;5","29",""
"29018","subfamily","Antequerinae","Hodges, 1978","","","1;2;3;5","29",""
"29017","species","Bactra furfurana","(Haworth, 1811)","","","1;2;3;5","29",""
"29016","species","Aglossa caprealis","(Hübner, 1809)","","","1;2;3;5","29",""
"29005","species","Notocelia rosaecolana","(Doubleday, 1850)","","","1;2;3;5","29",""
"29004","species","Tulosesus sclerocystidiosus","(M. Lange & A.H. Smith) D. Wächter & A. Melzer","","","","17",""
